Plan ID,BMI Range,BMI Category,Goal,Day,Exercise,Sets,Reps,Focus
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Wednesday,Face Pulls,4,15,Shoulder stability and growth
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Friday,Overhead Press,4,8,Shoulder and triceps strength
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Friday,Barbell Rows,4,10,Back thickness and posture improvement
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Friday,Hammer Curls,4,12,Arm and grip strength
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Saturday,Full-Body Hypertrophy Circuit,3,Rounds,Muscle growth and endurance
18,40+,Obesity Class 3 (Very Severe),Weight Gain,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
19,<18.5,Underweight,Muscle Building,Monday,Barbell Squat,5,8,Leg and core strength
19,<18.5,Underweight,Muscle Building,Monday,Leg Press,4,12,Quad and hamstring development
19,<18.5,Underweight,Muscle Building,Monday,Seated Calf Raises,4,15,Lower leg hypertrophy
19,<18.5,Underweight,Muscle Building,Tuesday,Flat Bench Press,5,8,Chest and upper body strength
19,<18.5,Underweight,Muscle Building,Tuesday,Incline Dumbbell Press,4,10,Upper chest hypertrophy
19,<18.5,Underweight,Muscle Building,Tuesday,Cable Flys,4,12,Chest muscle isolation
19,<18.5,Underweight,Muscle Building,Wednesday,Deadlift,5,6,Full-body strength and power
19,<18.5,Underweight,Muscle Building,Wednesday,Lat Pulldown,4,10,Back and biceps development
19,<18.5,Underweight,Muscle Building,Wednesday,Face Pulls,4,15,Shoulder and posture correction
19,<18.5,Underweight,Muscle Building,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
19,<18.5,Underweight,Muscle Building,Friday,Military Press,4,8,Shoulder and triceps strength
19,<18.5,Underweight,Muscle Building,Friday,Dumbbell Lateral Raises,4,12,Shoulder width and hypertrophy
19,<18.5,Underweight,Muscle Building,Friday,Barbell Rows,4,10,Back thickness and core strength
19,<18.5,Underweight,Muscle Building,Saturday,Arms & Core Circuit,3,Rounds,Muscle definition and endurance
19,<18.5,Underweight,Muscle Building,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
20,18.5-24.9,Normal Weight,Muscle Building,Monday,Barbell Squat,5,8,Leg and core strength
20,18.5-24.9,Normal Weight,Muscle Building,Monday,Leg Press,4,12,Quad and hamstring development
20,18.5-24.9,Normal Weight,Muscle Building,Monday,Seated Calf Raises,4,15,Lower leg hypertrophy
20,18.5-24.9,Normal Weight,Muscle Building,Tuesday,Flat Bench Press,5,8,Chest and upper body strength
20,18.5-24.9,Normal Weight,Muscle Building,Tuesday,Incline Dumbbell Press,4,10,Upper chest hypertrophy
20,18.5-24.9,Normal Weight,Muscle Building,Tuesday,Cable Flys,4,12,Chest muscle isolation
20,18.5-24.9,Normal Weight,Muscle Building,Wednesday,Deadlift,5,6,Full-body strength and power
20,18.5-24.9,Normal Weight,Muscle Building,Wednesday,Lat Pulldown,4,10,Back and biceps development
20,18.5-24.9,Normal Weight,Muscle Building,Wednesday,Face Pulls,4,15,Shoulder and posture correction
20,18.5-24.9,Normal Weight,Muscle Building,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
20,18.5-24.9,Normal Weight,Muscle Building,Friday,Military Press,4,8,Shoulder and triceps strength
20,18.5-24.9,Normal Weight,Muscle Building,Friday,Dumbbell Lateral Raises,4,12,Shoulder width and hypertrophy
20,18.5-24.9,Normal Weight,Muscle Building,Friday,Barbell Rows,4,10,Back thickness and core strength
20,18.5-24.9,Normal Weight,Muscle Building,Saturday,Arms & Core Circuit,3,Rounds,Muscle definition and endurance
20,18.5-24.9,Normal Weight,Muscle Building,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
21,25-29.9,Overweight,Muscle Building,Monday,Barbell Squat,5,8,Leg and core strength
21,25-29.9,Overweight,Muscle Building,Monday,Leg Press,4,12,Quad and hamstring development
21,25-29.9,Overweight,Muscle Building,Monday,Seated Calf Raises,4,15,Lower leg hypertrophy
21,25-29.9,Overweight,Muscle Building,Tuesday,Flat Bench Press,5,8,Chest and upper body strength
21,25-29.9,Overweight,Muscle Building,Tuesday,Incline Dumbbell Press,4,10,Upper chest hypertrophy
21,25-29.9,Overweight,Muscle Building,Tuesday,Cable Flys,4,12,Chest muscle isolation
21,25-29.9,Overweight,Muscle Building,Wednesday,Deadlift,5,6,Full-body strength and power
21,25-29.9,Overweight,Muscle Building,Wednesday,Lat Pulldown,4,10,Back and biceps development
21,25-29.9,Overweight,Muscle Building,Wednesday,Face Pulls,4,15,Shoulder and posture correction
21,25-29.9,Overweight,Muscle Building,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
21,25-29.9,Overweight,Muscle Building,Friday,Military Press,4,8,Shoulder and triceps strength
21,25-29.9,Overweight,Muscle Building,Friday,Dumbbell Lateral Raises,4,12,Shoulder width and hypertrophy
21,25-29.9,Overweight,Muscle Building,Friday,Barbell Rows,4,10,Back thickness and core strength
21,25-29.9,Overweight,Muscle Building,Saturday,Arms & Core Circuit,3,Rounds,Muscle definition and endurance
21,25-29.9,Overweight,Muscle Building,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Monday,Barbell Squat,5,8,Leg and core strength
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Monday,Leg Press,4,12,Quad and hamstring development
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Monday,Seated Calf Raises,4,15,Lower leg hypertrophy
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Tuesday,Flat Bench Press,5,8,Chest and upper body strength
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Tuesday,Incline Dumbbell Press,4,10,Upper chest hypertrophy
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Tuesday,Cable Flys,4,12,Chest muscle isolation
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Wednesday,Deadlift,5,6,Full-body strength and power
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Wednesday,Lat Pulldown,4,10,Back and biceps development
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Wednesday,Face Pulls,4,15,Shoulder and posture correction
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Friday,Military Press,4,8,Shoulder and triceps strength
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Friday,Dumbbell Lateral Raises,4,12,Shoulder width and hypertrophy
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Friday,Barbell Rows,4,10,Back thickness and core strength
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Saturday,Arms & Core Circuit,3,Rounds,Muscle definition and endurance
22,30-34.9,Obesity Class 1 (Moderate),Muscle Building,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Monday,Barbell Squat,5,8,Leg and core strength
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Monday,Leg Press,4,12,Quad and hamstring development
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Monday,Seated Calf Raises,4,15,Lower leg hypertrophy
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Tuesday,Flat Bench Press,5,8,Chest and upper body strength
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Tuesday,Incline Dumbbell Press,4,10,Upper chest hypertrophy
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Tuesday,Cable Flys,4,12,Chest muscle isolation
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Wednesday,Deadlift,5,6,Full-body strength and power
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Wednesday,Lat Pulldown,4,10,Back and biceps development
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Wednesday,Face Pulls,4,15,Shoulder and posture correction
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Friday,Military Press,4,8,Shoulder and triceps strength
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Friday,Dumbbell Lateral Raises,4,12,Shoulder width and hypertrophy
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Friday,Barbell Rows,4,10,Back thickness and core strength
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Saturday,Arms & Core Circuit,3,Rounds,Muscle definition and endurance
23,35-39.9,Obesity Class 2 (Severe),Muscle Building,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Monday,Barbell Squat,5,8,Leg and core strength
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Monday,Leg Press,4,12,Quad and hamstring development
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Monday,Seated Calf Raises,4,15,Lower leg hypertrophy
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Tuesday,Flat Bench Press,5,8,Chest and upper body strength
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Tuesday,Incline Dumbbell Press,4,10,Upper chest hypertrophy
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Tuesday,Cable Flys,4,12,Chest muscle isolation
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Wednesday,Deadlift,5,6,Full-body strength and power
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Wednesday,Lat Pulldown,4,10,Back and biceps development
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Wednesday,Face Pulls,4,15,Shoulder and posture correction
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Friday,Military Press,4,8,Shoulder and triceps strength
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Friday,Dumbbell Lateral Raises,4,12,Shoulder width and hypertrophy
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Friday,Barbell Rows,4,10,Back thickness and core strength
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Saturday,Arms & Core Circuit,3,Rounds,Muscle definition and endurance
24,40+,Obesity Class 3 (Very Severe),Muscle Building,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
25,<18.5,Underweight,Endurance Training,Monday,Running (Moderate Pace),1,30 min,Cardio endurance
25,<18.5,Underweight,Endurance Training,Monday,Jump Rope,4,3 min rounds,Agility and stamina
25,<18.5,Underweight,Endurance Training,Monday,Bodyweight Squats,4,20,Lower body endurance
25,<18.5,Underweight,Endurance Training,Tuesday,Cycling,1,40 min,Aerobic endurance
25,<18.5,Underweight,Endurance Training,Tuesday,Push-Ups,4,15,Upper body stamina
25,<18.5,Underweight,Endurance Training,Tuesday,Plank,4,1 min hold,Core endurance
25,<18.5,Underweight,Endurance Training,Wednesday,Rowing Machine,1,30 min,Full-body endurance
25,<18.5,Underweight,Endurance Training,Wednesday,Lunges,4,12,Leg endurance
25,<18.5,Underweight,Endurance Training,Wednesday,Russian Twists,4,20,Core and obliques
25,<18.5,Underweight,Endurance Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
25,<18.5,Underweight,Endurance Training,Friday,Swimming,1,30 min,Full-body endurance
25,<18.5,Underweight,Endurance Training,Friday,Dumbbell Shoulder Press,4,12,Upper body endurance
25,<18.5,Underweight,Endurance Training,Friday,Jump Squats,3,15,Leg power and stamina
25,<18.5,Underweight,Endurance Training,Saturday,HIIT Circuit,3,Rounds,Fat-burning and endurance
25,<18.5,Underweight,Endurance Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
26,18.5-24.9,Normal Weight,Endurance Training,Monday,Running (Moderate Pace),1,30 min,Cardio endurance
26,18.5-24.9,Normal Weight,Endurance Training,Monday,Jump Rope,4,3 min rounds,Agility and stamina
26,18.5-24.9,Normal Weight,Endurance Training,Monday,Bodyweight Squats,4,20,Lower body endurance
26,18.5-24.9,Normal Weight,Endurance Training,Tuesday,Cycling,1,40 min,Aerobic endurance
26,18.5-24.9,Normal Weight,Endurance Training,Tuesday,Push-Ups,4,15,Upper body stamina
26,18.5-24.9,Normal Weight,Endurance Training,Tuesday,Plank,4,1 min hold,Core endurance
26,18.5-24.9,Normal Weight,Endurance Training,Wednesday,Rowing Machine,1,30 min,Full-body endurance
26,18.5-24.9,Normal Weight,Endurance Training,Wednesday,Lunges,4,12,Leg endurance
26,18.5-24.9,Normal Weight,Endurance Training,Wednesday,Russian Twists,4,20,Core and obliques
26,18.5-24.9,Normal Weight,Endurance Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
26,18.5-24.9,Normal Weight,Endurance Training,Friday,Swimming,1,30 min,Full-body endurance
26,18.5-24.9,Normal Weight,Endurance Training,Friday,Dumbbell Shoulder Press,4,12,Upper body endurance
26,18.5-24.9,Normal Weight,Endurance Training,Friday,Jump Squats,3,15,Leg power and stamina
26,18.5-24.9,Normal Weight,Endurance Training,Saturday,HIIT Circuit,3,Rounds,Fat-burning and endurance
26,18.5-24.9,Normal Weight,Endurance Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
27,25-29.9,Overweight,Endurance Training,Monday,Running (Moderate Pace),1,30 min,Cardio endurance
27,25-29.9,Overweight,Endurance Training,Monday,Jump Rope,4,3 min rounds,Agility and stamina
27,25-29.9,Overweight,Endurance Training,Monday,Bodyweight Squats,4,20,Lower body endurance
27,25-29.9,Overweight,Endurance Training,Tuesday,Cycling,1,40 min,Aerobic endurance
27,25-29.9,Overweight,Endurance Training,Tuesday,Push-Ups,4,15,Upper body stamina
27,25-29.9,Overweight,Endurance Training,Tuesday,Plank,4,1 min hold,Core endurance
27,25-29.9,Overweight,Endurance Training,Wednesday,Rowing Machine,1,30 min,Full-body endurance
27,25-29.9,Overweight,Endurance Training,Wednesday,Lunges,4,12,Leg endurance
27,25-29.9,Overweight,Endurance Training,Wednesday,Russian Twists,4,20,Core and obliques
27,25-29.9,Overweight,Endurance Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
27,25-29.9,Overweight,Endurance Training,Friday,Swimming,1,30 min,Full-body endurance
27,25-29.9,Overweight,Endurance Training,Friday,Dumbbell Shoulder Press,4,12,Upper body endurance
27,25-29.9,Overweight,Endurance Training,Friday,Jump Squats,3,15,Leg power and stamina
27,25-29.9,Overweight,Endurance Training,Saturday,HIIT Circuit,3,Rounds,Fat-burning and endurance
27,25-29.9,Overweight,Endurance Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Monday,Running (Moderate Pace),1,30 min,Cardio endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Monday,Jump Rope,4,3 min rounds,Agility and stamina
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Monday,Bodyweight Squats,4,20,Lower body endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Tuesday,Cycling,1,40 min,Aerobic endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Tuesday,Push-Ups,4,15,Upper body stamina
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Tuesday,Plank,4,1 min hold,Core endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Wednesday,Rowing Machine,1,30 min,Full-body endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Wednesday,Lunges,4,12,Leg endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Wednesday,Russian Twists,4,20,Core and obliques
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Friday,Swimming,1,30 min,Full-body endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Friday,Dumbbell Shoulder Press,4,12,Upper body endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Friday,Jump Squats,3,15,Leg power and stamina
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Saturday,HIIT Circuit,3,Rounds,Fat-burning and endurance
28,30-34.9,Obesity Class 1 (Moderate),Endurance Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Monday,Running (Moderate Pace),1,30 min,Cardio endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Monday,Jump Rope,4,3 min rounds,Agility and stamina
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Monday,Bodyweight Squats,4,20,Lower body endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Tuesday,Cycling,1,40 min,Aerobic endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Tuesday,Push-Ups,4,15,Upper body stamina
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Tuesday,Plank,4,1 min hold,Core endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Wednesday,Rowing Machine,1,30 min,Full-body endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Wednesday,Lunges,4,12,Leg endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Wednesday,Russian Twists,4,20,Core and obliques
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Friday,Swimming,1,30 min,Full-body endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Friday,Dumbbell Shoulder Press,4,12,Upper body endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Friday,Jump Squats,3,15,Leg power and stamina
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Saturday,HIIT Circuit,3,Rounds,Fat-burning and endurance
29,35-39.9,Obesity Class 2 (Severe),Endurance Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Monday,Running (Moderate Pace),1,30 min,Cardio endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Monday,Jump Rope,4,3 min rounds,Agility and stamina
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Monday,Bodyweight Squats,4,20,Lower body endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Tuesday,Cycling,1,40 min,Aerobic endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Tuesday,Push-Ups,4,15,Upper body stamina
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Tuesday,Plank,4,1 min hold,Core endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Wednesday,Rowing Machine,1,30 min,Full-body endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Wednesday,Lunges,4,12,Leg endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Wednesday,Russian Twists,4,20,Core and obliques
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Friday,Swimming,1,30 min,Full-body endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Friday,Dumbbell Shoulder Press,4,12,Upper body endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Friday,Jump Squats,3,15,Leg power and stamina
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Saturday,HIIT Circuit,3,Rounds,Fat-burning and endurance
30,40+,Obesity Class 3 (Very Severe),Endurance Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
31,<18.5,Underweight,Strength Training,Monday,Back Squat,5,5,Lower body strength
31,<18.5,Underweight,Strength Training,Monday,Deadlifts,4,5,Full-body power
31,<18.5,Underweight,Strength Training,Monday,Leg Press,4,8,Quad and hamstring strength
31,<18.5,Underweight,Strength Training,Tuesday,Bench Press,5,5,Upper body strength
31,<18.5,Underweight,Strength Training,Tuesday,Overhead Press,4,6,Shoulder and triceps power
31,<18.5,Underweight,Strength Training,Tuesday,Dips,4,8,Triceps and chest strength
31,<18.5,Underweight,Strength Training,Wednesday,Deadlifts,5,5,Posterior chain development
31,<18.5,Underweight,Strength Training,Wednesday,Pull-Ups,4,Max,Upper body strength
31,<18.5,Underweight,Strength Training,Wednesday,Barbell Rows,4,6,Back and grip strength
31,<18.5,Underweight,Strength Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
31,<18.5,Underweight,Strength Training,Friday,Front Squat,5,5,Leg and core strength
31,<18.5,Underweight,Strength Training,Friday,Romanian Deadlifts,4,8,Hamstring and glute strength
31,<18.5,Underweight,Strength Training,Friday,Seated Calf Raises,4,15,Lower leg strength
31,<18.5,Underweight,Strength Training,Saturday,"Strongman Training (Carries, Sled Pulls)",3,Rounds,Full-body power
31,<18.5,Underweight,Strength Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
32,18.5-24.9,Normal Weight,Strength Training,Monday,Back Squat,5,5,Lower body strength
32,18.5-24.9,Normal Weight,Strength Training,Monday,Deadlifts,4,5,Full-body power
32,18.5-24.9,Normal Weight,Strength Training,Monday,Leg Press,4,8,Quad and hamstring strength
32,18.5-24.9,Normal Weight,Strength Training,Tuesday,Bench Press,5,5,Upper body strength
32,18.5-24.9,Normal Weight,Strength Training,Tuesday,Overhead Press,4,6,Shoulder and triceps power
32,18.5-24.9,Normal Weight,Strength Training,Tuesday,Dips,4,8,Triceps and chest strength
32,18.5-24.9,Normal Weight,Strength Training,Wednesday,Deadlifts,5,5,Posterior chain development
32,18.5-24.9,Normal Weight,Strength Training,Wednesday,Pull-Ups,4,Max,Upper body strength
32,18.5-24.9,Normal Weight,Strength Training,Wednesday,Barbell Rows,4,6,Back and grip strength
32,18.5-24.9,Normal Weight,Strength Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
32,18.5-24.9,Normal Weight,Strength Training,Friday,Front Squat,5,5,Leg and core strength
32,18.5-24.9,Normal Weight,Strength Training,Friday,Romanian Deadlifts,4,8,Hamstring and glute strength
32,18.5-24.9,Normal Weight,Strength Training,Friday,Seated Calf Raises,4,15,Lower leg strength
32,18.5-24.9,Normal Weight,Strength Training,Saturday,"Strongman Training (Carries, Sled Pulls)",3,Rounds,Full-body power
32,18.5-24.9,Normal Weight,Strength Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
33,25-29.9,Overweight,Strength Training,Monday,Back Squat,5,5,Lower body strength
33,25-29.9,Overweight,Strength Training,Monday,Deadlifts,4,5,Full-body power
33,25-29.9,Overweight,Strength Training,Monday,Leg Press,4,8,Quad and hamstring strength
33,25-29.9,Overweight,Strength Training,Tuesday,Bench Press,5,5,Upper body strength
33,25-29.9,Overweight,Strength Training,Tuesday,Overhead Press,4,6,Shoulder and triceps power
33,25-29.9,Overweight,Strength Training,Tuesday,Dips,4,8,Triceps and chest strength
33,25-29.9,Overweight,Strength Training,Wednesday,Deadlifts,5,5,Posterior chain development
33,25-29.9,Overweight,Strength Training,Wednesday,Pull-Ups,4,Max,Upper body strength
33,25-29.9,Overweight,Strength Training,Wednesday,Barbell Rows,4,6,Back and grip strength
33,25-29.9,Overweight,Strength Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
33,25-29.9,Overweight,Strength Training,Friday,Front Squat,5,5,Leg and core strength
33,25-29.9,Overweight,Strength Training,Friday,Romanian Deadlifts,4,8,Hamstring and glute strength
33,25-29.9,Overweight,Strength Training,Friday,Seated Calf Raises,4,15,Lower leg strength
33,25-29.9,Overweight,Strength Training,Saturday,"Strongman Training (Carries, Sled Pulls)",3,Rounds,Full-body power
33,25-29.9,Overweight,Strength Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Monday,Back Squat,5,5,Lower body strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Monday,Deadlifts,4,5,Full-body power
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Monday,Leg Press,4,8,Quad and hamstring strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Tuesday,Bench Press,5,5,Upper body strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Tuesday,Overhead Press,4,6,Shoulder and triceps power
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Tuesday,Dips,4,8,Triceps and chest strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Wednesday,Deadlifts,5,5,Posterior chain development
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Wednesday,Pull-Ups,4,Max,Upper body strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Wednesday,Barbell Rows,4,6,Back and grip strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Friday,Front Squat,5,5,Leg and core strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Friday,Romanian Deadlifts,4,8,Hamstring and glute strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Friday,Seated Calf Raises,4,15,Lower leg strength
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Saturday,"Strongman Training (Carries, Sled Pulls)",3,Rounds,Full-body power
34,30-34.9,Obesity Class 1 (Moderate),Strength Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Monday,Back Squat,5,5,Lower body strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Monday,Deadlifts,4,5,Full-body power
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Monday,Leg Press,4,8,Quad and hamstring strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Tuesday,Bench Press,5,5,Upper body strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Tuesday,Overhead Press,4,6,Shoulder and triceps power
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Tuesday,Dips,4,8,Triceps and chest strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Wednesday,Deadlifts,5,5,Posterior chain development
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Wednesday,Pull-Ups,4,Max,Upper body strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Wednesday,Barbell Rows,4,6,Back and grip strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Thursday,Rest or Active Recovery,-,-,Mobility and stretching
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Friday,Front Squat,5,5,Leg and core strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Friday,Romanian Deadlifts,4,8,Hamstring and glute strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Friday,Seated Calf Raises,4,15,Lower leg strength
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Saturday,"Strongman Training (Carries, Sled Pulls)",3,Rounds,Full-body power
35,35-39.9,Obesity Class 2 (Severe),Strength Training,Sunday,Rest or Light Activity,-,-,Recovery and flexibility
36,40+,Obesity Class 3 (Very Severe),Strength Training,Monday,Back Squat,5,5,Lower body strength
36,40+,Obesity Class 3 (Very Severe),Strength Training,Monday,Deadlifts,4,5,Full-body power
36,40+,Obesity Class 3 (Very Severe),Strength Training,Monday,Leg Press,4,8,Quad and hamstring strength
36,40+,Obesity Class 3 (Very Severe),Strength Training,Tuesday,Bench Press,5,5,Upper body strength
36,40+,Obesity Class 3 (Very Severe),Strength Training,Tuesday,Overhead Press,4,6,Shoulder and triceps power
36,40+,Obesity Class 3 (Very Severe),Strength Training,Tuesday,Dips,4,8,Triceps and chest strength
36,40+,Obesity Class 3 (Very Severe),Strength Training,Wednesday,Deadlifts,5,5,Posterior chain development
